"Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest","ACV","NYSE","stock","USD"
"ACV Auctions Inc. Class A Common Stock","ACVA","NYSE","stock","USD"
"Acurx Pharmaceuticals Inc. Common Stock","ACXP","NYSE","stock","USD"
"Adagene Inc. American Depositary Shares","ADAG","NYSE","stock","USD"
"Anthemis Digital Acquisitions I Corp Class A Ordinary Shares","ADAL","NYSE","stock","USD"
"Anthemis Digital Acquisitions I Corp Warrant","ADALW","NYSE","stock","USD"
"Adaptimmune Therapeutics plc American Depositary Shares","ADAP","NYSE","stock","USD"
"Adobe Inc. Common Stock","ADBE","NYSE","stock","USD"
"Agree Realty Corporation Common Stock","ADC","NYSE","stock","USD"
"Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock","ADC^A","NYSE","stock","USD"
"ADC Therapeutics SA Common Shares","ADCT","NYSE","stock","USD"
"Color Star Technology Co. Ltd. Ordinary Shares","ADD","NYSE","stock","USD"
"Adeia Inc. Common Stock","ADEA","NYSE","stock","USD"
"26 Capital Acquisition Corp. Class A Common Stock","ADER","NYSE","stock","USD"
"26 Capital Acquisition Corp. Unit","ADERU","NYSE","stock","USD"
"26 Capital Acquisition Corp. Warrant","ADERW","NYSE","stock","USD"
"Advanced Emissions Solutions Inc. Common Stock","ADES","NYSE","stock","USD"
"Adit EdTech Acquisition Corp. Common Stock","ADEX","NYSE","stock","USD"
"Analog Devices Inc. Common Stock","ADI","NYSE","stock","USD"
"Adial Pharmaceuticals Inc Common Stock","ADIL","NYSE","stock","USD"
"Adial Pharmaceuticals Inc Warrant","ADILW","NYSE","stock","USD"
"Archer-Daniels-Midland Company Common Stock","ADM","NYSE","stock","USD"
"ADMA Biologics Inc Common Stock","ADMA","NYSE","stock","USD"
"Adamis Pharmaceuticals Corporation Common Stock","ADMP","NYSE","stock","USD"
"Advent Technologies Holdings Inc. Class A Common Stock","ADN","NYSE","stock","USD"
"Adient plc Ordinary Shares","ADNT","NYSE","stock","USD"
"Advent Technologies Holdings Inc. Warrant","ADNWW","NYSE","stock","USD"
"Edoc Acquisition Corp. Class A Ordinary Share","ADOC","NYSE","stock","USD"
"Edoc Acquisition Corp. Right","ADOCR","NYSE","stock","USD"
"Edoc Acquisition Corp. Warrant","ADOCW","NYSE","stock","USD"
"Automatic Data Processing Inc. Common Stock","ADP","NYSE","stock","USD"
"Adaptive Biotechnologies Corporation Common Stock","ADPT","NYSE","stock","USD"
"Adara Acquisition Corp. Class A Common Stock","ADRA","NYSE","stock","USD"
"Ault Disruptive Technologies Corporation Common Stock","ADRT","NYSE","stock","USD"
"ADS-TEC ENERGY PLC Ordinary Shares","ADSE","NYSE","stock","USD"
"ADS-TEC ENERGY PLC Warrant","ADSEW","NYSE","stock","USD"
"Autodesk Inc. Common Stock","ADSK","NYSE","stock","USD"
"ADT Inc. Common Stock","ADT","NYSE","stock","USD"
"AdTheorent Holding Company Inc. Common Stock","ADTH","NYSE","stock","USD"
"AdTheorent Holding Company Inc. Warrants","ADTHW","NYSE","stock","USD"
"ADTRAN Holdings Inc. Common Stock","ADTN","NYSE","stock","USD"
"Aditxt Inc. Common Stock","ADTX","NYSE","stock","USD"
"Addus HomeCare Corporation Common Stock","ADUS","NYSE","stock","USD"
"Advantage Solutions Inc. Class A Common Stock","ADV","NYSE","stock","USD"
"Adverum Biotechnologies Inc. Common Stock","ADVM","NYSE","stock","USD"
"Advantage Solutions Inc. Warrant","ADVWW","NYSE","stock","USD"
"Adams Diversified Equity Fund Inc.","ADX","NYSE","stock","USD"
"Addex Therapeutics Ltd American Depositary Shares","ADXN","NYSE","stock","USD"
"Adams Resources & Energy Inc. Common Stock","AE","NYSE","stock","USD"
"Authentic Equity Acquisition Corp. Class A ordinary share","AEAC","NYSE","stock","USD"
"Authentic Equity Acquisition Corp. Unit","AEACU","NYSE","stock","USD"
"Authentic Equity Acquisition Corp. Warrant","AEACW","NYSE","stock","USD"
"AltEnergy Acquisition Corp. Class A Common Stock","AEAE","NYSE","stock","USD"
"AltEnergy Acquisition Corp. Unit","AEAEU","NYSE","stock","USD"
"AltEnergy Acquisition Corp. Warrant","AEAEW","NYSE","stock","USD"
"Ameren Corporation Common Stock","AEE","NYSE","stock","USD"
"abrdn Emerging Markets Equity Income Fund Inc. Common Stock","AEF","NYSE","stock","USD"
"Aegon Funding Company LLC 5.10% Subordinated Notes due 2049","AEFC","NYSE","stock","USD"
"AEGON N.V. Common Stock","AEG","NYSE","stock","USD"
"Aesther Healthcare Acquisition Corp Class A Common Stock","AEHA","NYSE","stock","USD"
"Aesther Healthcare Acquisition Corp Warrants","AEHAW","NYSE","stock","USD"
"Antelope Enterprise Holdings Limited Common Stock (0.024 par)","AEHL","NYSE","stock","USD"
"Aehr Test Systems Common Stock","AEHR","NYSE","stock","USD"
"Alset Inc. Common Stock (TX)","AEI","NYSE","stock","USD"
"Advanced Energy Industries Inc. Common Stock","AEIS","NYSE","stock","USD"
"American Equity Investment Life Holding Company Common Stock","AEL","NYSE","stock","USD"
"American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A","AEL^A","NYSE","stock","USD"
"American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B","AEL^B","NYSE","stock","USD"
"Agnico Eagle Mines Limited Common Stock","AEM","NYSE","stock","USD"
"Aethlon Medical Inc. Common Stock","AEMD","NYSE","stock","USD"
"Aenza S.A.A. American Depositary Shares","AENZ","NYSE","stock","USD"
"American Eagle Outfitters Inc. Common Stock","AEO","NYSE","stock","USD"
"American Electric Power Company Inc. Common Stock","AEP","NYSE","stock","USD"
"American Electric Power Company Inc. Corporate Units","AEPPZ","NYSE","stock","USD"
"AerCap Holdings N.V. Ordinary Shares","AER","NYSE","stock","USD"
"The AES Corporation Common Stock","AES","NYSE","stock","USD"
"The AES Corporation Corporate Units","AESC","NYSE","stock","USD"
"Aeva Technologies Inc. Common Stock","AEVA","NYSE","stock","USD"
"ADDvantage Technologies Group Inc. Common Stock","AEY","NYSE","stock","USD"
"AudioEye Inc. Common Stock","AEYE","NYSE","stock","USD"
"Aeterna Zentaris Inc. Common Stock","AEZS","NYSE","stock","USD"
"Aura FAT Projects Acquisition Corp Class A Ordinary Shares","AFAR","NYSE","stock","USD"
"Aura FAT Projects Acquisition Corp Warrant","AFARW","NYSE","stock","USD"
"AllianceBernstein National Municipal Income Fund Inc","AFB","NYSE","stock","USD"
"Affinity Bancshares Inc. Common Stock (MD)","AFBI","NYSE","stock","USD"
"AFC Gamma Inc. Common Stock","AFCG","NYSE","stock","USD"
"American Financial Group Inc. Common Stock","AFG","NYSE","stock","USD"
"American Financial Group Inc. 5.875% Subordinated Debentures due 2059","AFGB","NYSE","stock","USD"
"American Financial Group Inc. 5.125% Subordinated Debentures due 2059","AFGC","NYSE","stock","USD"
